[(1, 3, 0), StructureType: Windmill, Level: 1, 0]
[(2, 3, 0), StructureType: Windmill, Level: 1, 0]
[(3, 3, 0), StructureType: Windmill, Level: 1, 0]
[(4, 3, 0), StructureType: Windmill, Level: 1, 0]
[(5, 3, 0), StructureType: Windmill, Level: 1, 0]
[(6, 3, 0), StructureType: Windmill, Level: 1, 0]
[(7, 3, 0), StructureType: Windmill, Level: 1, 0]
[(8, 3, 0), StructureType: Windmill, Level: 1, 0]
[(8, 10, 0), StructureType: Forest, Level: 1, 0]
[(9, 3, 0), StructureType: Windmill, Level: 1, 0]
[(9, 10, 0), StructureType: Forest, Level: 1, 0]
[(10, 3, 0), StructureType: Windmill, Level: 1, 0]
[(11, 3, 0), StructureType: Windmill, Level: 1, 0]
[(12, 3, 0), StructureType: Windmill, Level: 1, 0]
[(18, 25, 0), StructureType: Windmill, Level: 1, 0]
[(20, 25, 0), StructureType: Windmill, Level: 1, 0]
